"language_code	lemma_id	lemma_form	senses",
"fr.	12c7ff22-bab5-400b-bb29-5b3c6545beb1	a1	lettre a",
"fr.	fb6082d6-5c1e-479f-a4ad-e809615f93fc	aabir	s'efforcer", s'empresser
"fr.	4291135a-4d4b-462c-a476-c0228fdd79f7	aace	pie",
